,0,1,2,3,4,5,6,7,8,9
0,-4.3214,-4.5806,-4.3234,-4.6,-4.4664,-4.0673,-4.0062,-4.1088,-4.0159,-3.8779
1,-5.9879,-5.7873,-6.0362,-5.7357,-5.8921,-6.2872,-6.3484,-6.2457,-6.3352,-6.4664
2,-0.075678,-0.076649,-0.077139,-0.069903,-0.076421,-0.08636,-0.087296,-0.086554,-0.09082,-0.096205
3,-8.1263e-06,-9.6011e-06,-7.5355e-06,-6.4517e-06,-7.5669e-06,-9.9813e-06,-1.0596e-05,-1.1054e-05,-1.2208e-05,-1.3532e-05
4,3.3617e-10,4.826e-11,5.6357e-10,8.7087e-10,3.3677e-10,-7.0486e-12,1.9091e-10,5.2958e-10,1.1095e-09,-3.6121e-10
5,1.4637,1.5737,1.5204,1.4377,1.5022,1.5544,1.575,1.5831,1.5922,1.5991
6,0.023501,0.043871,0.052372,0.051243,0.041027,0.037516,0.037485,0.03702,0.035094,0.034458
7,0.0074764,0.0053481,0.0080705,0.011411,0.010257,0.009448,0.0084566,0.0093459,0.0098507,0.0097636
8,1.7099e-05,0.0051225,0.0028911,-0.00011731,3.2523e-05,0.00041511,0.0012048,0.00048503,0.00010658,0.00013064
9,5.9993e-05,0.0002476,7.7135e-05,6.6615e-05,7.734e-05,8.0606e-05,7.6888e-05,7.4328e-05,7.4752e-05,8.1098e-05
10,6.1756e-07,3.668e-05,5.9491e-05,2.5084e-07,1.662e-06,3.8935e-06,3.966e-06,5.9156e-06,1.0264e-06,1.5674e-06
11,,5.2365e-07,-1.3843e-06,,,,,,,
